CasteMembership,Intelligence,BrainMass,HoursWorked,AnnualIncome
2,85.184799,1956.683,14,592.77078
2,63.845297,1438.1113,8,513.76019
2,93.242887,1396.1043,34,609.57949
4,117.25989,2587.9607,39,814.69803
3,123.29373,1812.9393,57,909.9394
1,83.647723,897.78181,12,458.66554
2,106.59163,2076.5389,43,795.72358
4,127.17914,2865.8932,19,565.83892
5,110.94673,1819.887,60,1099.569
5,69.587932,1502.0156,61,831.58193
2,115.92229,1477.2808,28,819.17739
5,142.62743,3015.5132,46,829.92028
5,95.364915,3328.2557,57,1102.6146
2,91.239324,1548.3061,24,562.18132
1,66.74959,593.8707,22,549.90764
1,83.381634,1425.4845,7,356.38974
3,97.577046,2259.0179,59,841.78431
3,117.27292,2288.7932,41,846.65505
5,106.74951,2395.2276,21,386.21228
3,54.21797,1983.3882,30,592.41383
4,123.67197,2873.0031,61,1027.155
2,97.51889,1478.4273,11,290.18408
5,103.71505,2814.8631,17,603.60023
4,115.78136,2687.8594,38,735.38238
4,95.85705,2257.4925,24,657.70619
5,120.52075,2472.2774,24,537.72857
5,105.67013,3132.2315,16,550.1242
3,94.617931,2115.0431,25,520.9676
2,97.001472,1736.4046,47,618.60287
5,106.97216,2172.6974,27,537.9686
2,56.223434,1465.4034,41,571.73583
2,98.001342,2131.7387,16,758.49017
2,113.71731,2817.1636,50,778.01502
5,124.07961,2626.7403,40,818.38258
4,149.64995,3004.2434,38,893.59073
5,128.47804,2318.5765,63,956.89209
1,57.109243,500,25,625.80856
3,96.176537,1628.0084,56,804.27998
5,92.992535,2440.5807,48,810.70738
5,153.92719,3252.8138,52,905.12745
4,83.311132,2269.6753,28,603.75957
1,61.265946,500,5,342.86853
4,144.32448,3049.1555,58,1012.4621
3,81.143304,1645.7979,18,524.83395
1,67.074496,500,16,341.08101
2,93.638863,2233.3153,48,827.6063
1,83.490423,853.41398,36,698.61039
4,151.7262,2937.6712,42,1017.0109
1,80.205178,1337.9134,21,585.55015
4,121.73523,2491.3046,15,676.28802
2,91.297196,1878.513,33,531.72482
1,67.747396,800.59841,46,740.36722
4,76.895613,2324.931,41,702.09286
3,84.074621,2343.7025,13,557.46461
3,97.412606,1670.5867,22,510.55423
1,55.756875,693.24282,53,764.52402
2,90.989589,1938.2853,47,760.68707
4,144.82985,2720.0861,33,665.96964
1,64.312747,500,14,588.44852
1,40.758384,500,9,425.22183
4,100.24004,2244.4054,50,776.13062
1,64.005675,1117.4581,39,571.48688
4,106.76371,2193.0746,14,435.44753
3,118.7658,2072.9083,41,646.03619
4,93.668031,2140.0197,31,608.47463
2,68.700449,1652.1823,40,693.80627
2,115.24878,1724.1635,47,824.87123
2,74.30252,1080.1627,37,803.44938
1,102.60561,745.26244,35,731.94996
4,116.76677,2982.8502,32,747.48264
4,132.03319,3252.456,50,865.16803
5,97.386424,2878.2284,33,617.04438
1,103.03443,1561.0811,44,781.08292
4,122.09941,2574.7379,54,849.43887
5,99.763634,3058.5796,35,646.68448
1,90.943118,2003.9171,33,742.33845
3,93.874595,1558.9144,59,873.27255
1,60.905862,669.6254,37,501.53799
4,104.89716,2436.9965,14,397.83227
3,112.20488,2002.816,44,828.65616
5,96.934885,1730.8625,21,591.19934
5,108.46477,2612.494,53,839.32295
5,108.51342,3169.2366,42,792.05144
5,118.35993,3117.4938,18,580.91572
4,56.005514,1024.4847,41,694.09165
2,84.776389,1294.6901,41,596.12472
4,130.14738,3404.3228,32,863.08025
3,69.115192,1418.8324,40,684.85692
2,64.248045,1116.3779,19,440.00126
3,99.719978,1957.02,12,479.99048
3,110.47238,1708.1108,40,651.74503
1,67.018319,500,28,636.25128
1,69.040905,1037.5514,48,682.478
2,79.92479,1214.9268,47,794.51225
1,94.55299,1440.8424,48,1075.7383
3,117.00621,982.46946,45,649.82731
2,96.53866,1878.8203,29,697.76102
4,102.87377,1854.3919,58,1023.8862
4,130.11565,3002.5093,56,821.5312
2,92.079933,1556.5221,37,616.034
1,79.117589,785.9587,14,398.02139
1,106.77549,1030.8409,38,698.89178
3,110.73203,2810.2566,24,603.86321
1,64.874862,1366.4288,50,760.79029
3,125.42191,2292.3461,56,818.88749
1,90.385879,1217.3179,30,627.85636
2,59.693062,567.47892,43,598.6365
2,100.38773,1471.7332,30,614.81521
1,69.635482,500,42,652.49124
4,108.03232,3174.2483,42,781.29404
3,74.804497,1636.8711,11,532.62771
1,96.817418,1916.9528,16,436.73592
4,98.041255,2300.5635,22,649.17424
2,66.17406,584.91646,23,476.02024
3,122.52383,2825.3809,49,771.56249
4,136.48554,3539.5649,35,751.43879
4,173.60439,2774.2505,45,918.3207
3,97.207157,2108.4856,23,571.9125
1,63.266579,673.13395,10,538.03357
1,132.14804,2138.2106,17,476.15214
5,109.38858,2387.155,61,857.78934
1,60.753129,500,6,370.70817
1,80.22001,1231.9281,24,618.85044
4,94.123608,2623.0028,22,565.44969
3,129.37117,2056.4399,34,711.26609
1,47.718438,692.38482,13,202.9922
2,83.693583,1379.6609,7,442.16655
2,123.51885,2136.9262,18,675.56858
3,95.654284,1738.4728,55,854.78717
5,104.11609,2422.7594,61,948.24882
4,118.75003,2843.1601,27,867.07172
4,105.98882,2155.5714,49,990.67302
4,132.29946,2864.4179,38,959.0693
4,83.073261,1796.8474,30,721.31579
5,110.07966,2987.2728,24,628.45554
2,78.608133,1261.9412,38,639.3008
2,82.821853,1935.2204,56,766.27474
2,112.7247,2222.3934,17,525.39051
5,97.12167,2143.9468,51,875.35832
1,87.649174,1535.4572,25,525.50085
2,89.716718,1298.93,29,533.90878
4,84.633505,2457.2322,24,587.09314
3,82.667834,1971.4008,22,764.45229
4,95.581708,2401.7647,39,721.96862
4,142.18853,2633.9946,37,859.98135
2,136.85023,2343.0174,32,724.76886
5,133.97106,2750.1621,53,1107.7219
3,89.741465,2482.7523,20,671.5347
5,104.98417,2925.4576,30,622.18919
5,128.52966,2926.47,55,820.02305
3,104.95742,2689.4652,44,772.90613
5,113.26048,2895.7301,23,411.1533
3,110.42348,2585.0772,55,757.31009
4,145.80364,3412.6121,13,534.38773
4,124.281,2609.032,15,507.60396
4,90.857025,2137.2246,41,815.43544
1,36.223699,829.14912,21,384.63781
1,83.532915,1323.4453,44,803.30433
4,110.58447,2828.1278,27,567.73786
4,101.19533,2515.538,52,810.92853
3,93.72813,1961.3298,20,657.12529
4,130.20403,2517.2387,53,953.72329
3,100.30165,1441.6267,12,442.03443
2,72.922925,960.68798,30,550.24201
4,91.538284,2401.1495,13,529.20723
1,103.97481,1718.9681,10,628.61065
3,105.24511,1846.0166,38,471.40185
5,58.805678,1683.1738,57,726.14469
2,72.498915,1381.8827,30,628.09512
4,154.04825,3286.8806,20,658.18132
3,67.712705,1936.1002,40,710.47249
1,87.797231,1121.849,14,371.73127
2,78.299558,1240.638,10,338.48148
4,127.31354,2798.4689,36,742.62146
5,110.10824,2443.0046,45,712.37585
3,75.908167,1890.6163,59,939.98522
2,79.560164,1910.6165,11,340.22458
1,80.493017,1432.385,33,565.10031
2,63.077918,1041.0974,26,624.39208
4,125.75773,2636.0502,13,522.00344
4,110.26316,2046.572,35,642.01152
4,125.14086,2983.1544,28,770.28372
5,114.73776,2914.3486,50,989.01952
5,112.1404,2251.8958,58,1009.4823
5,105.70047,2461.6043,39,764.05328
3,98.230929,2176.254,28,667.73585
3,132.71028,2705.7224,15,474.72226
4,122.31268,2644.552,51,1058.5566
1,85.665699,1348.4111,23,447.36834
3,93.600686,1828.5893,38,587.17624
3,91.470934,2768.3649,20,437.66728
2,81.968426,583.27873,22,434.0736
3,57.345472,937.49055,34,538.08235
1,53.790719,1431.2206,6,487.55226
3,137.10878,3156.9146,39,646.89648
4,118.31897,2716.2105,49,973.36075
5,127.67167,3190.6061,51,879.10765
2,87.442475,1161.8897,48,799.31788
1,74.128533,826.93708,53,842.90755
1,58.789928,666.89574,49,824.9311
2,104.96638,2067.9901,36,614.91093
5,109.99713,2455.6081,49,870.94887
4,117.58219,2219.8127,42,803.5133
4,109.94682,2007.7767,23,662.62574
4,122.55282,2599.5154,38,781.71889
3,92.673021,2134.8131,14,505.60547
5,125.00069,3636.4466,25,654.38581
4,88.05399,1684.2737,24,483.60605
2,85.571672,1847.9334,23,523.46368
4,115.79783,3139.3528,25,634.39725
1,79.813801,1423.1132,6,293.15447
3,113.67006,2486.219,32,643.98079
3,102.32838,2168.8263,30,570.05395
5,154.60745,3864.7019,20,727.83377
3,106.30122,2286.9229,49,768.10065
2,71.776983,1107.3372,12,539.95416
1,91.902244,982.61332,29,752.6325
2,84.275908,1199.7185,10,360.63411
5,144.37079,3169.552,62,1119.6181
2,83.23071,627.02385,47,688.82272
1,79.977829,1124.1558,35,697.48305
5,127.49888,2384.8527,46,841.75888
4,90.878648,2479.3867,40,741.10789
5,120.25617,3136.8586,34,712.75934
1,59.729106,516.83482,28,494.20362
5,134.33749,3938.0161,27,889.65936
3,94.826431,1725.1635,41,874.85521
3,90.683375,2194.2661,11,486.8423
1,59.945314,500,53,787.26689
1,70.748799,888.48447,17,433.60136
4,117.2142,2170.076,20,569.99
5,123.71815,2462.149,65,1067.2636
3,102.16987,1551.397,35,630.10942
4,140.94051,2781.2349,57,1034.7122
3,109.6532,2691.5799,37,682.90979
4,119.0704,2578.2613,40,877.73819
2,67.873029,1006.161,30,425.06528
3,121.57031,2696.0389,10,400.65679
2,77.275649,1208.7237,50,745.61688
5,146.3704,3799.1028,57,1012.5497
3,97.31743,1526.3831,20,624.95648
4,98.768235,1938.1191,27,574.60567
3,76.760573,1418.195,50,856.3911
1,65.10046,981.6302,36,700.33912
1,31.122906,500,25,503.41942
4,139.28072,3641.7668,17,799.95896
4,146.6917,3140.1879,13,488.90637
2,114.52717,1772.2146,35,577.26559
2,107.01881,2153.1231,40,833.67612
5,104.83883,2833.6728,28,384.40146
1,89.996384,1415.3181,14,624.12419
4,137.30699,2703.3963,28,608.61425
2,97.86457,2323.7652,26,616.43739
1,100.94976,1670.871,25,597.77339
4,107.75445,3152.9568,58,1018.0632
2,69.805612,1007.7982,24,465.80485
4,129.71113,3373.6708,60,824.21443
2,82.498238,1128.6326,24,513.35273
4,96.809214,1886.1106,19,488.71706
4,96.0628,2981.0198,25,641.97623
1,67.733143,2088.2865,26,629.99667
1,78.182985,1419.8993,29,490.26783
1,81.998536,983.84588,7,172.22431
3,100.38131,1954.5418,14,663.86954
3,106.32563,1734.107,26,741.65452
2,90.119592,839.95784,55,734.50958
4,83.112454,2047.8871,36,769.81415
1,61.579462,1045.0031,7,598.36734
4,119.69274,3081.6922,32,811.4882
5,140.21855,3264.4758,47,811.55378
2,56.433102,1083.3457,21,417.51345
3,119.45494,2518.4941,29,668.70677
1,66.438381,500,32,667.21041
4,83.208634,1785.966,23,676.91626
2,75.727911,1277.5081,19,566.52903
5,96.837832,2548.2393,61,901.48915
5,115.00993,3255.3416,53,926.72674
3,97.69672,1866.8465,16,713.68843
4,133.20165,3156.7727,18,606.4111
5,127.28531,2859.3738,42,928.73372
2,124.90926,2677.5086,54,882.05135
2,66.672447,1026.2904,13,505.192
4,157.09098,3911.6929,56,1054.1092
1,64.295253,568.25667,4,401.82606
1,84.918629,1788.9658,28,603.95793
3,121.56481,1862.4612,52,918.18388
3,76.676388,1839.8504,56,793.06598
1,109.73473,1750.4237,27,585.9512
1,109.42565,1572.9963,47,798.08553
4,132.6627,2779.7373,54,855.82444
4,64.473346,1529.4404,36,626.20677
5,114.67805,2887.8004,25,625.35415
4,102.93677,2023.0746,22,675.25521
2,60.998799,900.83254,40,800.00546
3,116.11302,1921.6036,22,607.06793
2,90.302938,1223.8258,40,753.54091
1,109.7702,1584.3896,27,664.24873
5,126.82241,2821.4239,50,955.01421
2,99.480829,1587.3972,48,775.35586
3,90.395027,1815.7214,55,913.85246
3,65.166663,1232.7009,28,527.18621
4,126.32409,2522.6678,17,560.67024
3,88.063563,2212.6386,26,586.38019
4,105.40113,2723.854,59,953.10135
1,72.898048,1176.8642,30,439.13983
3,134.92282,2392.1978,29,581.59974
4,117.72674,2516.9437,42,635.33489
1,79.763827,1035.1518,9,401.70482
3,57.7202,1102.8561,49,642.75578
5,130.15034,3048.9455,60,1158.8011
2,69.881716,1664.199,30,768.18136
5,119.19281,2905.6145,32,555.04697
2,99.334376,2415.8135,38,772.92901
1,54.133949,500,35,451.10488
1,67.82392,649.67426,14,482.78603
1,77.215604,1341.1114,36,595.17103
1,47.108688,712.77487,49,723.36745
4,92.493671,2012.2242,59,882.65356
5,107.82316,3206.4673,57,1019.3577
2,45.299473,1161.5177,56,601.53864
3,86.964369,1595.1376,15,539.71453
4,98.35977,2231.555,26,610.65736
2,58.916903,574.9579,38,676.3045
5,137.3245,2992.2184,61,1212.3413
2,83.90311,1037.751,26,585.07778
4,108.36869,2410.6378,40,535.5299
1,48.679687,603.45087,29,336.93371
1,75.603658,844.26486,52,831.09358
1,31.380943,500,21,499.12392
5,138.16178,3306.6533,38,727.2035
3,113.00759,2558.9161,50,926.5692
2,90.7251,933.56195,46,939.16537
5,125.18835,2475.5371,43,905.38123
5,131.27779,3089.3543,32,775.87654
3,92.951358,1805.4114,30,677.35006
4,83.690099,2359.557,38,754.14598
2,97.79588,2124.5397,51,973.68359
1,67.087046,855.98267,9,532.41191
4,126.3489,2725.3381,44,714.70916
4,146.09567,2939.3239,31,748.07509
3,101.43403,1607.4485,44,858.53374
1,69.371942,500,5,396.2656
2,68.337618,1710.4422,8,409.04762
1,98.170489,1352.343,31,746.61266
2,63.13684,1572.9198,47,621.40989
2,72.485884,1169.1153,31,644.34317
5,129.28785,2620.8223,25,728.6711
3,111.28892,2280.8703,30,749.78628
1,67.231069,1035.71,48,735.91438
3,113.42453,1863.7542,20,512.73318
1,84.062021,1319.3586,5,434.31861
4,109.8218,2716.6472,50,926.92163
2,70.009185,1187.7313,40,710.39811
3,96.095354,2079.3788,37,737.04723
5,151.6678,3510.6789,23,586.96737
3,125.10158,2300.7723,22,651.25721
5,80.743022,2268.8187,60,764.87667
4,129.94798,3352.611,35,890.54283
3,96.784793,2352.5988,57,879.52556
2,82.157723,1539.3731,43,681.72646
5,100.19197,3168.6226,52,874.20521
1,65.350796,500,32,562.86712
4,128.472,3059.1536,54,979.5942
3,87.226251,2405.4494,39,798.49666
5,131.50355,2727.947,61,1138.2329
3,122.72879,2375.272,26,679.26695
2,68.219231,779.78171,25,365.19619
5,119.8673,3103.3419,27,487.92138
2,49.02411,500,35,584.10998
3,90.251358,1311.2554,48,704.11017
4,94.154146,1253.8067,41,793.07725
5,119.67276,2633.8142,36,776.64374
4,105.4597,2003.8454,38,925.62079
4,104.79726,2394.4001,14,343.10883
4,134.68186,3091.0291,42,576.97057
1,74.43528,1773.9626,34,737.49927
4,97.314997,1978.3786,50,921.48933
1,67.095244,757.17043,14,589.5365
3,79.657485,1745.5957,36,554.94851
2,47.061721,658.0018,30,624.16515
2,58.074792,988.73371,47,718.19753
1,69.675588,996.95465,20,706.36942
5,105.60315,3042.7595,17,523.3492
5,103.33665,1829.6292,49,882.04608
3,109.61337,1991.7689,56,954.19906
5,93.927482,2387.6,31,688.74756
2,98.339985,2095.5229,25,557.10342
1,72.472509,1065.6121,39,661.0878
2,93.281351,1552.6342,55,882.54486
2,70.889115,500,22,459.94501
4,93.349958,1899.9959,34,833.72281
3,88.340222,1612.7503,12,527.89452
3,97.941848,2160.2978,54,1009.2947
5,111.65134,3515.1034,56,969.06043
2,100.86215,1425.4645,14,399.78218
2,107.26823,1495.4091,13,449.19987
5,150.11312,3406.6213,52,752.25663
3,112.24466,2251.2375,54,973.32933
3,73.562957,1447.3686,36,686.29996
1,77.613561,784.20206,29,704.01435
4,91.2413,1761.1575,60,913.01544
3,86.408921,1842.6825,21,463.02364
2,87.244718,1596.712,42,703.63116
4,94.30435,2588.5132,53,837.98911
1,84.670903,1064.3182,44,866.783
3,86.278224,1522.8548,24,651.79233
3,68.471995,2035.4239,40,690.15875
3,126.74545,2296.353,44,1098.4867
4,110.37315,2188.4436,43,808.67686
4,139.91048,3376.0614,59,1052.7631
3,92.15053,1284.2545,33,760.28651
3,66.208279,1844.9535,26,377.70483
1,77.954012,724.20674,44,637.58571
3,77.922664,2048.3515,46,895.13724
2,116.59914,2236.2188,43,1057.8438
4,79.984042,2185.6418,23,738.35455
4,84.275918,1585.0894,51,797.07632
5,105.02479,1956.8688,16,463.5578
5,122.0787,3030.35,47,739.53602
4,80.189861,1606.7294,42,828.37737
5,131.8538,2934.1476,21,555.46905
5,114.40013,2969.2822,23,648.73617
3,80.918726,514.68114,30,811.6167
5,165.24596,3679.2169,27,737.30097
4,107.56816,1948.5599,37,732.65457
2,90.828903,1887.0399,44,757.35219
5,102.57315,2814.3724,22,571.04351
1,73.006926,719.65746,51,716.51236
3,84.701079,1631.5825,25,464.937
1,44.179975,500,35,676.77832
3,127.42874,2154.9061,13,529.85152
5,133.42006,2592.926,48,891.63205
5,116.81474,2942.5291,48,855.11074
2,73.944089,1442.5731,25,505.24348
2,78.461351,1706.838,55,784.24225
3,99.207806,2299.9413,38,691.67468
3,112.96983,2881.469,29,596.72148
5,155.14078,3364.0346,24,837.6601
5,113.36536,3103.1013,48,961.91999
2,70.412224,1386.3953,48,733.41121
4,100.31928,2780.235,29,569.21512
1,86.852241,1081.6627,30,690.80485
5,138.41543,3053.6023,65,1209.2332
5,145.81221,2981.039,50,950.56623
1,73.243473,942.69642,23,377.45353
4,97.357516,1755.9171,21,606.26476
4,73.590815,2200.0152,58,833.93235
2,68.608953,1171.092,30,568.6979
1,54.01694,699.69547,11,313.89187
2,103.40174,2824.138,54,1002.2747
2,119.42856,1763.1829,42,777.905
2,100.21821,1349.0048,40,864.24784
1,45.484675,678.41297,13,380.55293
5,110.75312,2403.7334,36,769.82756
1,58.621838,500,6,330.5059
4,105.6778,2487.5991,15,480.77125
4,93.617463,2032.9385,20,507.77837
5,132.46329,2987.8668,29,658.9828
3,109.58644,2334.8576,55,958.71883
5,167.50722,4330.0267,34,778.85515
4,138.5299,3598.2537,36,768.81192
3,89.778125,1354.8324,25,638.09476
1,109.93044,752.04977,13,306.06503
5,115.29187,2368.1244,63,1012.8525
3,83.823271,1459.2338,55,872.66085
4,125.12836,2598.2359,33,739.44881
1,84.559031,920.07482,6,653.21434
1,86.37864,1500.6268,11,468.61076
2,104.82993,1867.4202,39,698.19199
1,55.607834,805.51895,24,402.15387
2,81.504369,1251.3291,22,538.72214
3,117.30442,2704.7417,58,996.81196
5,128.79009,2701.5165,35,590.81499
3,76.51256,1893.9097,26,492.60221
4,126.00741,2062.8213,33,622.47514
5,127.93954,3100.1528,43,685.72193
1,71.829058,909.15543,8,377.47623
5,113.06498,3379.2828,63,1013.2562
2,107.43541,1467.5587,55,964.43842
5,121.96538,2503.8585,30,637.15941
1,111.77739,1762.8306,49,948.63788
1,83.824694,1257.4016,44,657.7475
2,73.166562,810.33505,49,716.17354
2,80.508265,1134.4445,50,829.7346
3,117.23849,1496.492,55,971.03422
5,140.81448,3069.3709,36,894.10648
2,101.93457,1729.3167,22,633.65256
1,78.840539,1165.8845,29,510.20677
2,101.72193,2001.4828,10,593.14159
1,80.970605,1661.4235,10,390.20198
2,116.28391,1824.6812,15,549.66142
4,86.58028,1711.7521,53,803.44232
5,117.76873,1830.8654,59,986.55288
4,114.58944,1906.5437,18,629.88886
1,70.636879,532.47673,24,537.01216
5,144.88733,3239.5578,53,1113.8795
5,140.12146,3636.1952,17,569.37414
4,121.16474,2988.4969,18,615.15429
1,66.112669,500,19,475.65006
1,52.21254,500,15,369.81112
2,117.91864,2052.9762,29,589.63468
1,103.13915,864.02192,34,622.16063
1,79.341415,1140.5284,36,640.14885
5,89.058256,2199.919,30,684.05448
1,71.180197,1296.1688,45,665.06573
4,135.11353,3304.6755,30,624.35797
5,122.73463,3081.8456,53,1030.8002
3,87.524054,2231.8383,10,395.61604
5,138.44475,2780.0709,53,863.98658
3,128.15276,2215.3674,48,868.92916
2,93.39756,1177.4835,30,588.52651
1,68.826743,1130.0535,5,404.19726
3,103.18932,1976.3853,31,712.4843
4,99.283293,2024.6233,38,760.10497
2,60.28285,1031.4938,27,664.71428
1,54.326341,500,43,721.28306
2,112.76132,1757.5405,49,795.27282
4,114.20127,2665.6531,54,1023.6522
4,134.4012,2812.8343,19,545.28735
5,106.44497,3102.0702,59,1024.8004
5,113.26575,2718.39,45,561.98436
4,113.911,2720.4441,15,427.81283
5,143.25244,3461.0685,22,588.56535
2,88.81243,1464.8975,7,274.67283
5,142.69971,3192.7553,34,879.09123
4,93.886557,2724.5241,55,1054.7421
5,99.970904,2358.4019,39,768.23398
1,94.990153,1359.5867,36,580.59966
3,120.28263,2312.0596,12,424.19167
1,71.780474,1181.8339,6,626.46919
1,72.18266,500,40,669.91023
2,76.441226,1073.9365,22,698.9576
3,99.922314,1753.8922,24,445.49314
4,114.76891,2754.6688,45,970.76369
1,73.675356,710.23411,5,392.61595
3,97.657512,1614.0101,22,557.04677
4,118.72152,2310.9754,15,621.55293
4,112.57832,2463.2207,59,1024.0904
2,96.724095,1370.5711,54,841.86605
4,108.66362,2398.1653,35,636.89225
2,68.246004,1613.8144,51,784.17334
1,75.3976,795.53163,6,502.16925
2,78.012586,968.10094,35,719.55733
4,142.92454,3334.9312,49,752.76682
2,57.064079,701.53018,32,427.92249
4,95.613012,2037.783,28,794.8769
2,95.886864,1770.0961,12,507.02034
